brand,total_sold,revenue,AVG_Price,IUR_%,Product_Category
Versace,128077,4360571,36.19,0.72,Luxury
"Calvin Klein",145672,3666265,24.24,1.16,Massmarket
Davidoff,60289,1664342,23.73,0.07,Othercategory
Azzaro,38305,1658519,42.27,0.42,Luxury
Burberry,38001,1205658,38.81,2.99,Luxury
"Dolce  Gabbana",28570,1072571,38.87,1.51,Luxury
"Paco Rabanne",23506,1051978,58.60,2.41,Massmarket
"Yves Saint Laurent",13895,985820,58.18,4.09,Luxury
Armaf,27120,949374,39.05,3.11,Othercategory
"Ralph Lauren",20849,921153,37.64,6.72,Othercategory
DolceGabbana,16362,780433,45.95,2.88,Othercategory
"Giorgio Armani",13455,726095,53.89,3.67,Luxury
"Carolina Herrera",13284,724148,55.31,2.75,Luxury
"HUGO BOSS",18811,717748,36.63,0.96,Othercategory
"Liz Claiborne",29170,633676,23.27,3.03,Othercategory
Coach,17056,623997,34.25,5.52,Othercategory
"Kenneth Cole",24636,587768,21.88,0.96,Massmarket
Montblanc,13058,540686,40.50,2.95,Luxury
Gucci,9158,537672,52.96,1.76,Luxury
"Vera Wang",20308,505972,23.00,0.95,Othercategory
