title,total_sold,revenue,AVG_Price,IUR_%,Product_Category,Brand
"Chrome by Azzaro 67  68 oz EDT Cologne for Men New In Box",30655,1410130,46.00,0.00,Luxury,Azzaro
"Ck One by Calvin Klein Cologne Perfume Unisex 34 oz New In Box",54052,1243196,23.00,0.00,Massmarket,"Calvin Klein"
"Versace Eros by Gianni Versace 34 oz EDT Cologne for Men Tester",31718,1237002,39.00,0.00,Luxury,Versace
"Cool Water by Davidoff 42 oz EDT Cologne for Men New In Box",40394,1010114,25.50,0.03,Othercategory,Davidoff
"Versace Pour Homme Signature by Versace 34 oz EDT Cologne for Men New In Box",21310,937640,44.00,0.05,Luxury,Versace
"Versace Pour Homme Signature by Versace 34 oz EDT Cologne for Men New Tester",19899,716364,36.00,0.00,Luxury,Versace
"OBSESSION by Calvin Klein 40 oz 4 MEN edt Cologne New in Box",24048,553104,23.00,0.00,Massmarket,"Calvin Klein"
"Cool Water by Davidoff Cologne for Men 67  68 oz Brand New In Box",13549,514862,38.00,0.00,Othercategory,Davidoff
"Escape by Calvin Klein EDP Perfume for Women 34 oz New In Box",17854,464204,26.00,0.00,Massmarket,"Calvin Klein"
"1 Million by Paco Rabanne 34 oz EDT Cologne for Men New Tester",8877,417219,47.00,0.00,Massmarket,"Paco Rabanne"
"VERA WANG Perfume 33  34 oz EDP For Women Spray NEW IN BOX",15897,397425,25.00,0.45,Othercategory,"Vera Wang"
"Hugo by Hugo Boss 67 oz EDT Cologne for Men Brand New In Box",7506,375300,50.00,0.00,Othercategory,"HUGO BOSS"
"Eternity by Calvin Klein 34 oz EDT Cologne for Men Brand New Tester",12739,356692,28.00,0.00,Othercategory,CK
"Burberry Touch by Burberry EDT Cologne for Men 33  34 oz Brand New Tester",12583,352324,28.00,0.08,Luxury,Burberry
"La Nuit De Lhomme by Yves Saint Laurent YSL Cologne Men 33 34 oz New In Box",4802,336140,70.00,0.00,Luxury,"Yves Saint Laurent"
"TOMMY BOY EST 1985 by Tommy Hilfiger Cologne edt men 34  33 oz NEW in BOX",12184,316784,26.00,0.03,Othercategory,"Tommy Hilfiger"
"KENNETH COLE BLACK Cologne for Men 34 oz EDT Spray New in Box",12879,309096,24.00,0.08,Massmarket,"Kenneth Cole"
"GUCCI GUILTY POUR HOMME  Cologne for Men  EDT  30 oz  BRAND NEW IN BOX",5227,303166,58.00,0.00,Luxury,Gucci
"The One by Dolce  Gabbana 5  50 oz EDT Cologne for Men New In Box",4733,298179,63.00,0.00,Othercategory,DolceGabbana
"COACH NEW YORK by Coach cologne for men EDT 33  34 oz New In Box",7592,273312,36.00,6.41,Othercategory,Coach
