Product,Revenue,Revenue_MAN,Revenue_WOMAN,Items_sold,Items_sold_MAN,Items_sold_WOMAN,Number_of_fragrancies,Fragrancies_MAN,Fragrancies_WOMAN,Tital_items,Items_MAN,Items_WOMAN
"Chrome by Azzaro 67  68 oz EDT Cologne for Men New In Box",1410130,1410130,0,30655,30655,0,1,1,0,1,1,0
"Ck One by Calvin Klein Cologne Perfume Unisex 34 oz New In Box",1243196,1243196,0,54052,54052,0,1,1,0,1,1,0
"Versace Eros by Gianni Versace 34 oz EDT Cologne for Men Tester",1237002,1237002,0,31718,31718,0,1,1,0,1,1,0
"Cool Water by Davidoff 42 oz EDT Cologne for Men New In Box",1010114,1010114,0,40394,40394,0,1,1,0,1,1,0
"Versace Pour Homme Signature by Versace 34 oz EDT Cologne for Men New In Box",937640,937640,0,21310,21310,0,1,1,0,1,1,0
"Versace Pour Homme Signature by Versace 34 oz EDT Cologne for Men New Tester",716364,716364,0,19899,19899,0,1,1,0,1,1,0
"OBSESSION by Calvin Klein 40 oz 4 MEN edt Cologne New in Box",553104,553104,0,24048,24048,0,1,1,0,1,1,0
"Cool Water by Davidoff Cologne for Men 67  68 oz Brand New In Box",514862,514862,0,13549,13549,0,1,1,0,1,1,0
"Escape by Calvin Klein EDP Perfume for Women 34 oz New In Box",464204,0,464204,17854,0,17854,1,0,1,1,0,1
"1 Million by Paco Rabanne 34 oz EDT Cologne for Men New Tester",417219,417219,0,8877,8877,0,1,1,0,1,1,0
"VERA WANG Perfume 33  34 oz EDP For Women Spray NEW IN BOX",397425,0,397425,15897,0,15897,1,0,1,1,0,1
"Hugo by Hugo Boss 67 oz EDT Cologne for Men Brand New In Box",375300,375300,0,7506,7506,0,1,1,0,1,1,0
"Eternity by Calvin Klein 34 oz EDT Cologne for Men Brand New Tester",356692,356692,0,12739,12739,0,1,1,0,1,1,0
"Burberry Touch by Burberry EDT Cologne for Men 33  34 oz Brand New Tester",352324,352324,0,12583,12583,0,1,1,0,1,1,0
"La Nuit De Lhomme by Yves Saint Laurent YSL Cologne Men 33 34 oz New In Box",336140,336140,0,4802,4802,0,1,1,0,1,1,0
