title,total_sold,revenue,AVG_Price,IUR_%,Product_Category,Brand
"Dossier MUSKY MUSK Eau de Parfum 17 Fl oz  50 mL Perfume NEW IN BOX",0,0,0.00,0.00,Othercategory,Dossier
"NWB Ellis Brooklyn Biography Fragrance Discovery Set",0,0,0.00,0.00,Othercategory,"Ellis Brooklyn"
"DELILAH PERFUME EDP 34 OZ BY MAISON ALHAMBRA LATTAFA FOR WOMEN FREE SHIPING",0,0,0.00,0.00,Indie,"Maison Alhambra"
"Burberry Her ELIXIR DE PARFUM EDP IntenseDeluxe Travel Spray 033oz NEW IN BOX",0,0,0.00,0.00,Luxury,Burberry
"CORIANDRE by JEAN COUTURIER for Women 30ml1oz Eau de Toilette Spray BQ22",0,0,0.00,0.00,Othercategory,"Jean couturier"
"Victorias Secret Bombshell Sundrenched Eau De Parfum 34 Fl Oz Edp Perfume New",0,0,0.00,0.00,Othercategory,"Victorias Secret"
"CHANEL Les Eaux De Chanel Paris Eau De Toilette Perfume Discovery Set NEW",0,0,0.00,0.00,Othercategory,CHANEL
"Bright Crystal de Versace Eau de Toilette 30 EE UU fl oz  Spray Mujer 90 ml",0,0,0.00,0.00,Othercategory,Unknown
"Bianco Latte EDP by Giardini Di Toscana  100 Ml Missing Two Sprays",0,0,0.00,0.00,Othercategory,"Giardini Di Toscana"
"Snif  Sweet Ash 07 FL OZ  Juniper, Fir Balsam, White Moss  Cedarwood",0,0,0.00,0.00,Othercategory,Snif
"SPICE ADDICT PRIVATE COLLECTION BY LOMANI EDP  Spray 33 oz100 ml NEW  SEALED",0,0,0.00,0.00,Othercategory,Lomani
"Burberry Goddess EDP Eau De Parfum Spray 33 oz New In Sealed Box GIFT",0,0,0.00,0.00,Luxury,Burberry
"Shiyaaka for Men EDP Spray 100ML 34 FLOZ By Khadlaj Woody, Aromatic, Earth",0,0,0.00,0.00,Othercategory,Khadlaj
"Jean Paul Gaultier Le Beau Le Parfum Eau De Parfum Intense 42 oz 125 ml Cologne",0,0,0.00,0.00,Luxury,"Jean Paul Gaultier"
"Bath  Body Works Mens Collection FRESHWATER Cologne Spray 34 FL Ounce",0,0,0.00,0.00,Massmarket,"Bath  Body Works"
"Dossier Aromatic Pineapple Eau de Parfum Size 50ml  17oz",0,0,0.00,0.00,Othercategory,Dossier
"NWB Ellis Brooklyn Miami Nectar Eau de Parfum  Travel Size  Set of 2",0,0,0.00,0.00,Othercategory,"Ellis Brooklyn"
"Prada Paradoxe EDP Mini Bottle 7ml23oz",0,0,0.00,0.00,Othercategory,PRADA
"Bvlgari Le Gemme Tygar 34oz Mens Eau de Parfum",0,0,0.00,0.00,Luxury,Bvlgari
"5 Original MH Tom Ford Impressions, Tobacco Vanille, Oud Wood  More",0,0,0.00,0.00,Luxury,"Tom Ford"
