brand,title,type,price,available,sold,itemLocation,gender,grouped_category,available_value,total_revenue,category
Dior,Christian Dior Sauvage Mens EDP 34 oz Fragrance Spray,Eau de Parfum,84,10,116,"Allen Park, Michigan, United States",man,Eau de Parfum,840,9744,Luxury
AS SHOW,Aventus Eau de Parfum 33 oz 100ML Millesime EDP Cologne for Men New In Box,Eau de Parfum,109,8,48,"Atlanta, Georgia, Canada",man,Eau de Parfum,872,5232,Othercategory
Unbranded,HOGO BOSS cologne For Men 34 oz,Eau de Toilette,100,10,27,"Dearborn, Michigan, United States",man,Eau de Toilette,1000,2700,Othercategory
Giorgio Armani,Acqua Di Gio by Giorgio Armani 67 Fl oz Eau De Toilette Spray Men New  Sealed,Eau de Toilette,44,2,159,"Reinholds, Pennsylvania, United States",man,Eau de Toilette,88,6996,Luxury
Lattafa,Lattafa Mens Hayaati Al Maleky EDP Spray 34 oz Fragrances 6291108734056,Fragrances,16,0,156,"Brooklyn, New York, United States",man,Otherproducttype,0,2496,Othercategory
Multiple Brands,Mens Perfume Sampler 10pcs Sample Vials Designer Fragrance Samples for Men,Perfume,14,10,79,"Houston, Texas, United States",man,Otherproducttype,140,1106,Othercategory
Maison Alhambra,Glacier Bold by Maison Alhambra 34oz EDP for Men NEW SEALED CAN,Eau de Parfum,30,9,39,"Englewood Cliffs, New Jersey, United States",man,Eau de Parfum,270,1170,Indie
Unbranded,Parfums DeMarlyHaltane Eau de Parfum spray 42 oz for Men New in Box,Eau de Parfum,85,0,6,"Ithaca, New York, United States",man,Eau de Parfum,0,510,Othercategory
Unbranded,Hawas for him Eau De Parfum By Rasasi 100ml 34 FL OZ NEW,,15,10,17,"shanghai, China",man,Otherproducttype,150,255,Othercategory
Gucci,"Gucci Guilty for Him  Classic 3oz Eau de Toilette Spray, Brand New",Eau de Parfum,49,8,68,"Dearborn Heights, Michigan, United States",man,Eau de Parfum,392,3332,Luxury
Ralph Lauren,Polo Blue by Ralph Lauren 42 oz EDT Cologne for Men Brand New In Box,Eau de Toilette,34,10,615,"Ecorse, Michigan, United States",man,Eau de Toilette,340,20910,Othercategory
DolceGabbana,Dolce  Gabbana Light Blue Men 42 oz  125 mL EDT Spray Brand New  Sealed,Eau de Toilette,29,7,458,"Warren, Michigan, United States",man,Eau de Toilette,203,13282,Othercategory
SECERTMU,New 2024 Sexy Cologne Cupid Hypnosis Long Lasting Pheromone Perfume for Men,Perfume,15,10,889,"San Francisco, California, United States",man,Otherproducttype,150,13335,Othercategory
As Show,Sauvage Eau de Parfum Spray For Men 34 Oz100ml New In Seald Box,Eau de Parfum,59,9,63,"Dayton,New Jersey, Hong Kong",man,Eau de Parfum,531,3717,Othercategory
Versace,Eau Fraiche By Versace 34 oz 100 ml Eau de Toilette Brand New Sealed In Box,Eau de Toilette,34,7,136,"Warren, Michigan, United States",man,Eau de Toilette,238,4624,Luxury
Paco Rabanne,1 Million by Paco Rabanne 34 Fl oz  100 ml PARFUM Spray Mens New  Sealed,PARFUM,68,2,20,"San Jose, California, United States",man,Otherproducttype,136,1360,Massmarket
Grandeur,Tribal Intense by Grandeur  Eau de Parfum for Men 100ml 34oz,Eau de Parfum,37,10,44,"Miami, Florida, United States",man,Eau de Parfum,370,1628,Othercategory
Armaf,Club de Nuit Intense by Armaf 36 oz EDT Cologne for Men New In Box  Sealed,Eau de Toilette,29,5,384,"Hamtramck, Michigan, United States",man,Eau de Toilette,145,11136,Othercategory
Carolina Herrera,Carolina Herrera 212 NYC Mens Cologne EDT 34oz 100ml New Sealed,Eau de Toilette,39,10,236,"Flat Lick, Kentucky, United States",man,Eau de Toilette,390,9204,Luxury
Dior,Dior Sauvage Eau de Toilette 34 Oz 100ml Brand New Sealed Free shipping,Eau de Toilette,83,4,22,"Elmhurst, New York, United States",man,Eau de Toilette,332,1826,Luxury
Dolce  Gabbana,Light Blue by Dolce  Gabbana 42 oz Cologne for Men Tester with Cap,Eau de Toilette,29,0,9208,"Hackensack, New Jersey, United States",man,Eau de Toilette,0,267032,Luxury
Clinique,CLINIQUE HAPPY Pour Homme Cologne edt for Men 34 oz 33 NEW in Box,Eau de Toilette,21,4,86,"Miami, Florida, United States",man,Eau de Toilette,84,1806,Othercategory
Dumont,Dumont Mens Nitro Red EDP Spray 34 oz Fragrances 3760060761880,Fragrances,49,3,187,"Brooklyn, New York, United States",man,Otherproducttype,147,9163,Othercategory
Afnan,Turathi Blue by Afnan for men EDP 3oz New in Sealed Box,Eau de Parfum,33,10,131,"Dallas, Texas, United States",man,Eau de Parfum,330,4323,Othercategory
